{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
7380;0.000146850218091247;0;0.000136307552054038;0.000206772;0.000114155;1.53777336392818;1.53777336392818;0.975389062405877;0.420563216324007;0.75577086643244;0.75577086643244;0.001337349;0.457833911669844;0.457833911669844;0.457833911669844;0.457833911669844
7381;0.000145820699939739;0;0.000138100404829538;0.000187974;0.000114155;1.46251814240083;1.46251814240083;0.972450127170583;0.444113957407179;0.75577086643244;0.75577086643244;0.010682752;0.484618831686565;0.484618831686565;0.484618831686565;0.484618831686565
7382;0.000146753328319995;0;0.000135360384550037;0.000190324;0.000114155;1.3335925303262;1.3335925303262;0.996969820109802;0.467590137751015;0.75577086643244;0.75577086643244;0.055732213;0.45464042854786;0.45464042854786;0.45464042854786;0.45464042854786
7383;0.000149448495251932;0;0.000130607633324336;0.000213821;0.000114155;1.11016036098454;1.11016036098454;1.01675643472839;0.482144115271691;0.75577086643244;0.75577086643244;0.068512602;0.368154070826233;0.368154070826233;0.368154070826233;0.368154070826233
7384;0.000150368322310924;0;0.000125229074997935;0.00022322;0.000114155;0.754885710517102;0.754885710517102;1.04156614587959;0.495631711631258;0.75577086643244;0.75577086643244;0.045444111;0.260080447676193;0.260080447676193;0.260080447676193;0.260080447676193
7385;0.000147959827096903;0;0.000119579897384533;0.00022322;0.000114155;0.343607174261708;0.343607174261708;1.01057625847412;0.50104003638749;0.75577086643244;0.75577086643244;0.013684352;0.14024849222191;0.14024849222191;0.14024849222191;0.14024849222191
7386;0.000144178508911344;0;0.000113017379678031;0.000164478;0.000114155;0.0215848309807865;0.0215848309807865;0.994217088854478;0.501454185289866;0.75577086643244;0.75577086643244;0.000911366;0.0358404923494298;0.0358404923494298;0.0358404923494298;0.0358404923494298
7387;0.000155846685427345;0;0.00011070020203423;0.000117484;0.000114155;0;0;1.10635851447834;0.50870771412919;0.75577086643244;0.75577086643244;0.000320272;0.000778224192486438;0.000778224192486438;0.000778224192486438;0.000778224192486438
7388;0.000158675826232951;0;0.00011032810051473;8.81E-05;0.000114155;0;0;1.12268980076081;0.515034459950959;0.75577086643244;0.75577086643244;0.015601772;0;0;0;0
7389;0.000156397246263878;0;0.00011005748122793;5.87E-05;0.000114155;0;0;1.09168116693053;0.517941167389816;0.75577086643244;0.75577086643244;0.031318311;0;0;0;0
7390;0.000143686234215903;0;0.00010941476042153;3.76E-05;0.000114155;0;0;1.02380918614754;0.518750883078669;0.75577086643244;0.75577086643244;0.025483931;0;0;0;0
7391;0.000135805080983951;0;0.00010845067921213;2.35E-05;0.000114155;0;0;0.981915811211761;0.513418512719928;0.75577086643244;0.75577086643244;0.012438345;0;0;0;0
7392;0.000128060967941929;0;0.00010736820206463;9.40E-06;0.000114155;0;0;0.978626680166795;0.498545619639602;0.75577086643244;0.75577086643244;0.001337349;0;0;0;0
7393;0.00012026586474265;0;0.000106370293444329;5.87E-06;0.000114155;0;0;0.946931832685113;0.495560170485914;0.719879205418403;0.719879205418403;0.009992751;0;0;0;0
7394;0.000115958835483998;0;0.000105169420358829;2.35E-06;0.000114155;0;0;0.890920824871923;0.496993780707371;0.719879205418403;0.719879205418403;0.052679199;0;0;0;0
7395;0.000112667722248496;0.000166186512619221;0.000104340648792829;1.17E-06;0.000114155;0;0;0.854350804324053;0.507811591602365;0.719879205418403;0.719879205418403;0.064631382;0;0;0;0
7396;0.000110828239806754;0.000186545253342223;0.000103731755397329;1.41E-05;0.000114155;0;0;0.841676646122679;0.52454083803514;0.719879205418403;0.719879205418403;0.04300571;0;0;0;0
7397;0.000111208278406731;0.000449933272421256;0.000103833237629929;3.76E-05;0.000114155;0;0;0.857315574967212;0.548798164065142;0.719879205418403;0.719879205418403;0.012969161;0;0;0;0
7398;0.000112816498218531;0.000473662309887259;0.000103410394994228;9.40E-05;0.000114155;0;0;0.890703901961103;0.57435043127898;0.719879205418403;0.719879205418403;0.000895919;0;0;0;0
7399;0.000115062891543178;0.000445929198761056;0.000102243349319628;0.0001821;0.000114155;0.102090416801017;0.102090416801017;0.724531342989724;0.590927536639715;0.719879205418403;0.719879205418403;0.000264322;9.77E-06;9.77E-06;0.00000977;0.00000977
7400;0.000121681877425781;0;0.00010790944063833;0.000158603;0.000114155;0.420029143409689;0.420029143409689;0.625513674686026;0.594048402960948;0.719879205418403;0.719879205418403;0.014435159;0.0119600633696895;0.0119600633696895;0.0119600633696895;0.0119600633696895
7401;0.000128827772990543;0;0.000114945542096932;0.000146855;0.000114155;0.759552700999334;0.759552700999334;1.36571482298419;0.591911459662722;0.719879205418403;0.719879205418403;0.029594027;0.0907403424254597;0.0907403424254597;0.0907403424254597;0.0907403424254597
7402;0.000133792366688998;0;0.000123148689230134;0.000164478;0.000114155;1.01390368228641;1.01390368228641;1.61558165996938;0.59614585926369;0.719879205418403;0.719879205418403;0.024397757;0.235118592482415;0.235118592482415;0.235118592482415;0.235118592482415
7403;0.000138146525245473;0;0.000130945907432936;0.000187974;0.000114155;1.18891582537407;1.18891582537407;1.59091987228461;0.60280476040247;0.719879205418403;0.719879205418403;0.012121684;0.379337761297934;0.379337761297934;0.379337761297934;0.379337761297934
7404;0.000140957969144234;0;0.000135529521604237;0.000206772;0.000114155;1.2781720183487;1.2781720183487;1.53700232021416;0.605099187131275;0.719879205418403;0.719879205418403;0.001337349;0.485837113600303;0.485837113600303;0.485837113600303;0.485837113600303
7405;0.000140241088582918;0;0.000138404851527238;0.000187974;0.000114155;1.23383560876647;1.23383560876647;1.47876300842879;0.611878407468834;0.719879205418403;0.719879205418403;0.009992751;0.531932246760683;0.531932246760683;0.531932246760683;0.531932246760683
7406;0.000138350561219798;0;0.000139385846442138;0.000190324;0.000114155;1.12882832291405;1.12882832291405;1.43350283869001;0.623517083322037;0.719879205418403;0.719879205418403;0.052679199;0.53093652047446;0.53093652047446;0.53093652047446;0.53093652047446
7407;0.000137357565745084;0;0.000136899531744038;0.000213821;0.000114155;0.913563386916512;0.913563386916512;1.38208643770905;0.636964728132923;0.719879205418403;0.719879205418403;0.064631382;0.468685419854955;0.468685419854955;0.468685419854955;0.468685419854955
7408;0.000137108423547261;0;0.000131115044487236;0.00022322;0.000114155;0.602625146031016;0.602625146031016;1.30684065329841;0.653816384252021;0.719879205418403;0.719879205418403;0.04300571;0.355834666178385;0.355834666178385;0.355834666178385;0.355834666178385
7409;0.000135327818308214;0;0.000123892892268934;0.00022322;0.000114155;0.267185205113519;0.267185205113519;1.1496422754769;0.649745042715851;0.719879205418403;0.719879205418403;0.012969161;0.206168428365195;0.206168428365195;0.206168428365195;0.206168428365195
7410;0.000134265872431697;0;0.000113000465972531;0.000164478;0.000114155;0.0151677190675797;0.0151677190675797;1.18410434724797;0.634100991836683;0.719879205418403;0.719879205418403;0.000895919;0.0583513636321263;0.0583513636321263;0.0583513636321263;0.0583513636321263
7411;0.000147988763581299;0;0.00010782487211123;0.000117484;0.000114155;0;0;1.35193982433377;0.631156887890345;0.719879205418403;0.719879205418403;0.000264322;0.000841868697478385;0.000841868697478385;0.000841868697478385;0.000841868697478385
7412;0.000149617454042826;0;0.00010770647617323;8.81E-05;0.000114155;0;0;1.38686787865347;0.640610539221222;0.719879205418403;0.719879205418403;0.014435159;0;0;0;0
7413;0.000146234701662299;0;0.00010743585688633;5.87E-05;0.000114155;0;0;1.30880918538982;0.66462954961827;0.719879205418403;0.719879205418403;0.029594027;0;0;0;0
7414;0.000134112795898962;0;0.000106640912731129;3.76E-05;0.000114155;0;0;1.18103875549862;0.693272719491945;0.719879205418403;0.719879205418403;0.024397757;0;0;0;0
7415;0.00012737002428006;0;0.000106065846746629;2.35E-05;0.000114155;0;0;1.03814705012817;0.734013543475683;0.719879205418403;0.719879205418403;0.012121684;0;0;0;0
